fen,value
3k4/r2nr3/pp1q3n/2bPp1pB/4R3/1N1Q2P1/PP4PP/5R1K w - - 8 31,-0.21651806149302882
3k2n1/r2nr3/pp1q4/2bPp1pB/6R1/1N1Q2P1/PP4PP/4R2K b - - 11 32,0.49487804044039985
3k4/r2nr3/pp1q4/2bPp1Rn/8/1N1Q2P1/PP4PP/4R2K w - - 0 34,-0.21413397614340715
3k3R/r3r3/pp1q1n2/2bPp3/8/1N1Q2P1/PP4PP/4R2K b - - 2 35,0.21413397614340715
5R2/r1k1r3/pp1q4/2bnp3/8/1N1Q2P1/PP4PP/4R2K w - - 0 37,-0.1268135725243873
R7/2k1r3/pp1q4/2bnpQ2/8/1N4P1/PP4PP/4R2K b - - 0 38,-0.9086976584311126
R1Q5/4r3/pp1k1q2/2bnp3/8/1N4P1/PP4PP/4R2K w - - 3 40,0.9390559334707117
RQ6/3r4/pp1k1q2/2bnp3/8/1N4P1/PP4PP/4R2K b - - 6 41,-0.8951974297716623
R2Q4/3r4/pp1k1q2/2bnp3/8/1N4P1/PP4PP/4R2K w - - 9 43,0.8853516482022625
R7/3r4/pp1k1n2/2b1p3/3N4/6P1/PP4PP/4R2K b - - 1 44,0.5597712580014517
8/4r3/Rp1k1n2/4p3/3b4/6P1/PP4PP/4R2K w - - 1 46,-0.34961054516462703
8/4r3/1p1k4/4R3/3b2n1/6P1/PP4PP/4R2K b - - 0 47,0.8298019099859595
8/4r3/1p1k4/4R3/3b2n1/6P1/PP4PP/4R1K1 w - - 3 49,-0.8328904660394908
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.062418746747512514
rnbqkbnr/pppp1ppp/8/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq - 1 2,-0.00749985937816399
rnbq1b1r/pppp1kpp/5n2/4p3/4P3/8/PPPP1PPP/RNBQK1NR w KQ - 0 4,-0.7026420908321852
rnbq3r/ppppbkpp/5n2/4p3/4P3/2P2N2/PP1P1PPP/RNBQK2R b KQ - 0 5,0.7162978701990244
rnbq1r2/ppp1bkpp/5n2/3pp3/4P3/1QP2N2/PP1P1PPP/RNB1K2R w KQ - 0 7,-0.8058227180270021
rnbq1rk1/ppp1b1pp/5n2/3Pp3/4P3/1Q3N2/PP1P1PPP/RNB1K2R b KQ - 0 8,0.7199301687444545
rnbq1r1k/ppp1b1pp/3P4/4p3/4n3/1Q3N2/PP1P1PPP/RNB1K2R w KQ - 1 10,-0.2890231074125892
rnb2r1k/ppp1q1pp/8/4p3/4n3/1Q3N2/PP1P1PPP/RNB2RK1 b - - 1 11,0.39270985964766825
rnb2r1k/ppp1q1pp/8/2n5/4p3/4QN2/PP1P1PPP/RNB2RK1 w - - 0 13,-0.0024999947916796877
rnb2r1k/ppp1q1pp/8/8/3Np3/2NnQ3/PP1P1PPP/R1B2RK1 b - - 3 14,0.38421900860357633
r1b2r1k/ppp1q1pp/8/8/3nN3/3nQ3/PP1P1PPP/R1B2RK1 w - - 0 16,-0.197375320224904
r4r1k/ppp1q1pp/8/5b2/3QN3/8/PP1P1PPP/R1B2RK1 b - - 0 17,-0.11942729853438588
r4r1k/p1p3pp/1p6/2Q2b2/4q3/8/PP1P1PPP/R1B2RK1 w - - 0 19,0.14888503362331798
2r2r1k/Q5pp/1p6/5b2/4q3/8/PP1P1PPP/R1B2RK1 b - - 0 20,0.3713602278765077
2r2r1k/Q5pp/1p4q1/8/8/5P1b/PP1P2PP/R1B2RK1 w - - 1 22,-0.9033247425601896
2r2r1k/Q5pp/1p4q1/8/8/5PP1/PP1P3P/R1B2K2 b - - 0 23,0.9614695347368166
2r4k/Q5pp/1p6/8/8/3q1rP1/PP1P2KP/R1B5 w - - 2 25,-0.9691129062420462
2r4k/Q5pp/1p6/8/7K/5rP1/PP1P3P/R1B2q2 b - - 5 26,1.0
2r4k/Q5pp/1p6/8/3q3K/5rP1/PP5P/R1B5 w - - 0 28,-0.9216685544064713
2r4k/Q5p1/1p5p/8/3q1B2/5rPK/PP5P/R7 b - - 1 29,0.8941998651897869
7k/3Q2p1/1p5p/8/5B2/5rPK/PPr4P/R7 w - - 1 31,0.9624029719005226
2R4k/3Q2p1/1p5p/8/5B2/5rPK/Pr5P/8 b - - 1 32,-1.0
2R5/7k/1p4pp/5Q2/5B2/5rPK/Pr5P/8 w - - 0 34,1.0
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.10461581914865054
rnbqkbnr/pp1ppppp/8/2p1P3/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 2,0.14643954535966971
r1bqkbnr/pp1p1ppp/2n1p3/2p1P3/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 4,-0.07982976911113136
r1bqkbnr/pp1p1ppp/2n1p3/4P3/3N4/8/PPP2PPP/RNBQKB1R b KQkq - 0 5,0.2913126124515909
r1bqkb1r/pp1p1ppp/2n1p1n1/4P3/8/5N2/PPP2PPP/RNBQKB1R w KQkq - 3 7,-0.21174733686352115
r1bqk2r/pp1pbppp/2B1p1n1/4P3/8/5N2/PPP2PPP/RNBQK2R b KQkq - 0 8,0.3004370971476541
r1bq1rk1/p2pbppp/2p1p1n1/4P3/8/5N2/PPP2PPP/RNBQ1RK1 w - - 2 10,-0.26594955336092135
r1bq1rk1/p3bppp/2pPp1n1/8/8/5N2/PPP2PPP/RNBQR1K1 b - - 0 11,0.07734521041301597
r1b2rk1/p4ppp/2pbp1n1/8/8/5N2/PPP2PPP/RNB1R1K1 w - - 0 13,-0.09223708209155926
r1b2rk1/5ppp/2pbp1n1/p7/8/2N1BN2/PPP2PPP/R3R1K1 b - - 1 14,0.00749985937816399
r4rk1/4nppp/b1pbp3/p7/8/2N1BN2/PPP2PPP/3RR1K1 w - - 4 16,0.8591265382143658
r4rk1/5ppp/b1pRp3/p2N4/8/4BN2/PPP2PPP/4R1K1 b - - 0 17,-0.8359280001726355
r1r3k1/5ppp/bR2p3/p2p4/8/4BN2/PPP2PPP/4R1K1 w - - 2 19,0.8049443259184149
r1r3k1/5pp1/bR2p2p/p1Bp4/8/2P2N2/PP3PPP/4R1K1 b - - 1 20,-0.02499479296842069
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.07237324046358946
rnbqkbnr/ppp1pppp/3p4/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,-0.0897577847471601
r1bqkb1r/pppnpppp/3p1n2/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 4 4,0.1021425386146839
r1bqkb1r/pppnppp1/3p1n1p/8/2B1P3/P1N2N2/1PPP1PPP/R1BQK2R b KQkq - 0 5,-0.0897577847471601
r1bqk2r/pppnbpp1/3p1n1p/4p3/2B1P3/P1NP1N2/1PP2PPP/R1BQK2R w KQkq - 1 7,0.04746430825312217
r1bqk2r/pp1nbpp1/2pp1n1p/4p3/2B1P3/P1NPBN1P/1PP2PP1/R2QK2R b KQkq - 0 8,-0.05494460868918742
r1b1kn1r/ppq1bpp1/2pp1n1p/4p3/2B1P3/P1NPBN1P/1PP2PP1/R2Q1RK1 w kq - 3 10,0.08479588154870199
r1b1kn1r/ppq1bp2/2pp1n1p/4p1p1/2B1P3/P1NPB2P/1PP1QPPN/R4RK1 b kq - 1 11,-0.04746430825312217
r1b1k1r1/ppq1bp2/2pp1nnp/4p1p1/2B1P3/P1NPBP1P/1PP1Q1PN/R4RK1 w q - 1 13,-0.012499348999020865
r1b1k1r1/ppq1bp2/2pp2np/4p1pn/2B1P1N1/P1NPBP1P/1PP1QRP1/R5K1 b q - 4 14,0.10955847021442953
r3k1r1/ppq1bp2/2pp2np/4p1p1/2B1PnP1/P1NPB2P/1PP1QRP1/R5K1 w q - 1 16,0.2867302913888035
2kr2r1/ppq1bp2/2pp2np/4p1p1/P1B1PnP1/2NPB2P/1PPQ1RP1/R5K1 b - - 0 17,-0.19497153165403217
1k1r2r1/1pq1bp2/p1pp2np/P3p1p1/2B1PnP1/2NPB2P/1PPQ1RP1/R5K1 w - - 0 19,0.528095199594932
1k1B2r1/1p1qbp2/p1pp2np/P3p1p1/2B1PnP1/2NP3P/1PPQ1RP1/R5K1 b - - 0 20,-0.221278467898444
1k1r4/1p1qb3/p1pp1pnp/P3p1p1/2B1PnP1/2NP3P/1PPQ1RPK/R7 w - - 0 22,0.41571454284896264
1k1rq3/1p2b3/p1pp1pnp/P3p1p1/N1B1PnP1/3P2PP/1PPQ1R1K/R7 b - - 0 23,-0.35399171247704597
1k1rq3/1p2b3/p1p2pnp/P3p1p1/N1p1PPP1/3P3P/1PPQ1R1K/R7 w - - 0 25,-0.18291795686556014
1k1rq3/1p2b3/pNp2pn1/P3p1p1/2p1P1P1/3P3P/1PPQ1R1K/R7 b - - 1 26,0.2935987851159713
1k1rq3/1p2b3/pNp2p2/P3p1p1/4PnP1/3P3P/1P1Q1R1K/R7 w - - 1 28,-0.2913126124515909
1k2q3/1p2b3/pNp2p2/P3p1p1/3rPnP1/3P1R1P/1PQ4K/R7 b - - 4 29,0.28443418591487535
1k1q4/1p2b3/pNp2p2/P3p1p1/R3PnP1/3r1R1P/1PQ4K/8 w - - 0 31,0.30497892438548896
1k1q4/1p2b3/pNp2p2/P3p1p1/R3P1P1/1Q1n3P/1P5K/8 b - - 1 32,0.5334821284570855
1k1q4/1p2b3/pNp2p2/P3p1p1/n3P1P1/2Q4P/1P5K/8 w - - 0 34,-0.5882592563981054
1k6/1p2b3/pNp2p2/P3p1p1/4P1P1/2Q4P/1P5K/3q4 b - - 2 35,0.6640367702678489
1k6/1p2b3/pNp2p2/P3p1p1/4q1P1/2Q3KP/1P6/8 w - - 0 37,-0.6791313403693489
8/1pk1b3/p1p2p2/P1N1p1p1/4q1P1/2Q3KP/1P6/8 b - - 3 38,0.7584263132115813
8/1pk5/p1p2p2/P1Q1p1p1/6P1/6KP/1P6/4q3 w - - 1 40,-0.7211322540766999
8/1pk5/p1p2p2/P3p1p1/6P1/7P/1P2qQK1/8 b - - 4 41,0.8321231362048838
8/1p6/p1pk1p2/P3p1p1/6P1/7P/1P3K2/8 w - - 1 43,-0.8411229016320433
8/1p6/p1p2p2/P1k1p1p1/6P1/3K3P/1P6/8 b - - 4 44,0.8885512041426692
8/1p6/p1p2p2/k3p1p1/6P1/7P/1PK5/8 w - - 0 46,-0.8381730655690693
8/1p6/p1p2p2/1k2p1p1/1P4P1/2K4P/8/8 b - - 0 47,0.8966771290678304
8/1p6/2p2p2/k3p1p1/6P1/2K4P/8/8 w - - 0 49,-0.8571495748848095
8/8/2p2p2/kp2p1p1/6P1/1K5P/8/8 b - - 1 50,0.9291998847546564
8/8/2p2p2/4p1p1/kp4P1/7P/K7/8 w - - 2 52,-0.9462857624303807
8/8/2p2p2/4p1p1/k5P1/1pK4P/8/8 b - - 1 53,0.9703060253208865
8/8/2p2p2/4p3/6Pp/kpK5/8/8 w - - 0 55,-0.9726926818052982
8/8/2p5/4p1p1/7p/kp6/3K4/8 b - - 1 56,0.9797986301478435
8/8/2p5/4p1p1/7p/8/kpK5/8 w - - 2 58,-1.0
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.06739767086580163
rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,-0.10708780630223659
r1bqkbnr/pp1npppp/3p4/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 2 4,0.07982976911113136
r1bqkb1r/pp1npppp/3p1n2/1Bp5/4P3/2P2N2/PP1P1PPP/RNBQ1RK1 b kq - 2 5,0.09471523628617855
r1bqkb1r/pp1npppp/3p1n2/1Bp5/8/2P2N2/PP1P1PPP/RNBQR1K1 w kq - 2 7,-0.04995837495787998
r1bqkb1r/pp1npppp/3p1n2/1B6/3Q4/2P2N2/PP3PPP/RNB1R1K1 b kq - 0 8,0.26594955336092135
r1bqkb1r/3npppp/p2p1n2/1p6/B2Q4/2P2N2/PP3PPP/RNB1R1K1 w kq - 0 10,-0.2798321934754683
r2qkb1r/1b1npppp/p2p1n2/1p4N1/3Q4/1BP5/PP3PPP/RNB1R1K1 b kq - 3 11,0.3670417874726313
r2qkb1r/1b1n2pp/p2ppn2/1p4N1/3Q4/2P5/PP3PPP/RNB1R1K1 w kq - 0 13,-0.4094913959961821
r3kb1r/1b1n2pp/pQ1pNn2/1p6/8/2P5/PP3PPP/RNB1R1K1 b kq - 0 14,-0.165950908402399
r2k1b1r/1b4pp/pn1p1n2/1pN5/8/2P5/PP3PPP/RNB1R1K1 w - - 2 16,0.19497153165403217
r4b1r/2k3pp/pn1p1n2/Np6/8/2P5/PP3PPP/RNB1R1K1 b - - 2 17,-0.2890231074125892
r6r/2k3pp/pn1b1n2/Np1p4/5B2/2P5/PP3PPP/RN2R1K1 w - - 2 19,0.22602835227867096
r6r/6pp/pn1k1n2/Np1p4/8/2P5/PP1N1PPP/R3R1K1 b - - 1 20,-0.23076751278236432
4r2r/6pp/p2k1n2/Np1p4/2n5/2P2N2/PP3PPP/R3R1K1 w - - 4 22,0.2913126124515909
4r2r/6pp/p2k1n2/3p4/2pN4/2P5/PP3PPP/R3R1K1 b - - 1 23,-0.20935816942801874
4r2r/3n3p/p2k2p1/3p4/2pN4/2P2P2/PP4PP/R3R1K1 w - - 1 25,0.30950692121263845
4r2r/7p/p2k2p1/3pn3/PPpN4/2P2P2/6PP/R3R1K1 b - - 0 26,-0.2798321934754683
4r3/7p/p2k2p1/3p4/PPpN4/2Pn1P2/6PP/R5K1 w - - 0 28,0.31852077690277086
r7/7p/p2k2p1/1P1p4/P1pN4/2Pn1P2/6PP/1R4K1 b - - 2 29,-0.012499348999020865
r7/7p/pP1k2p1/3p4/n1pN4/2P2P2/6PP/1R4K1 w - - 0 31,-0.34080231961773716
1r6/7p/pP1k2p1/3p4/n1p2N2/2P2P2/6PP/1R4K1 b - - 3 32,0.8101619061641351
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.08727737447415772
rnbqkbnr/pp1ppppp/8/2p4Q/4P3/8/PPPP1PPP/RNB1KBNR b KQkq - 1 2,0.1586485042974989
rnbqkb1r/pp2pppp/3p1n2/2p5/4P3/5Q2/PPPP1PPP/RNB1KBNR w KQkq - 0 4,-0.11202778108923989
rn1qkb1r/pp2pppp/3p1n2/2p5/4P1b1/3P2Q1/PPP2PPP/RNB1KBNR b KQkq - 2 5,0.1366399669564962
r2qkb1r/pp1nppp1/3p1n2/2p4p/4PPb1/3P2Q1/PPP3PP/RNB1KBNR w KQkq - 0 7,0.42189900525000795
r2qkb1r/pp1nppp1/3p1n2/2p2P2/4PQbp/3P4/PPP3PP/RNB1KBNR b KQkq - 1 8,0.2612970513021489
r3kb1r/ppqnppp1/5n2/2ppPP2/5Qbp/3P4/PPP3PP/RNB1KBNR w KQkq - 1 10,0.46994519893303766
r3kb1r/ppqnppp1/5n2/2ppPPQb/7p/3P3P/PPP3P1/RNB1KBNR b KQkq - 2 11,0.6791313403693489
2kr1b1r/pp1nppp1/5n2/2ppqPQb/7p/3P3P/PPP1N1P1/RNB1KB1R w KQ - 2 13,-0.658409035955251
2kr1b1r/pp1nppp1/5n2/1Np1qPQb/3p3p/3P3P/PPP1N1P1/R1B1KB1R b KQ - 1 14,0.6153583568455542
1k1r1b1r/pp1nppp1/5n2/1Np1qPQ1/3p1B1p/3P3P/PPP1b1P1/R3KB1R w KQ - 0 16,0.7453899238492566
1k1r1b1r/pp2ppp1/5n2/1Np1nPQ1/3p3p/3P3P/PPP1B1P1/R3K2R b KQ - 0 17,-0.6910694698329306
1k1r1b1r/pp2ppp1/5n2/1N2nPQ1/3p3p/2pP3P/PPP1B1P1/2KR3R w - - 0 19,0.7258974148490807
1k1r1b1r/pp2ppp1/2n2n2/1N3PQ1/3p3p/1PpP3P/P1P1B1P1/1K1R3R b - - 2 20,-0.7615941559557649
k2r1b1r/pp2ppp1/5n2/1N3P2/1n1p1Q1p/1PpP3P/P1P1B1P1/1K1R3R w - - 5 22,1.0
1k1r1b1r/pp2ppp1/4Nn2/5P2/1n1p1Q1p/1PpP3P/P1P1B1P1/1K1R3R b - - 8 23,-0.7363687637736096
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.08479588154870199
rnbqkbnr/ppp1pppp/8/3P4/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 2,-0.1586485042974989
rnbqkbnr/ppp1pppp/8/8/8/2N5/PPPP1PPP/R1BQKBNR w KQkq - 2 4,0.18774620586828542
rnbqkbnr/ppp2ppp/4p3/8/2B5/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 1 5,-0.1635187536836725
rnbqkbnr/pp3pp1/2p1p2p/8/2B5/2NP1N2/PPP2PPP/R1BQK2R w KQkq - 0 7,0.1780808681173302
rnbqk1nr/pp3pp1/2pbp2p/4N3/2B2B2/2NP4/PPP2PPP/R2QK2R b KQkq - 3 8,-0.14888503362331798
rnbqk2r/pp3pp1/2pbp2p/4Nn2/2B2B2/2NP1Q2/PPP2PPP/R3K2R w KQkq - 6 10,0.6336551189618977
rnb1k2r/ppq2pp1/2pbp2p/4Nn2/2BP1B2/2N2Q2/PPP2PPP/2KR3R b kq - 0 11,-0.30950692121263845
rnb2rk1/ppq2p2/2pbp1pp/4Nn2/2BP1BQ1/2N5/PPP2PPP/2KR3R w - - 0 13,0.7442768673618373
rnb2rk1/ppq5/2pbp1Qp/5n2/2BP1B2/2N5/PPP2PPP/2KR3R b - - 0 14,0.03498571533277944
rnb2rk1/ppq3n1/2p1p1QB/8/2BP1b2/2N5/PPP2PPP/2KR3R w - - 1 16,0.477700012168498
rnb2rk1/pp4n1/2p1p1Q1/8/2BP1q2/2N5/PPP2PPP/1K1R3R b - - 1 17,-0.4834677598628625
rnb2rk1/pp4n1/2p1p1Q1/8/2BP3q/2N5/PPP3PP/1K1R1R2 w - - 2 19,0.9531386646526594
rnb2k2/pp4n1/2p1p1Q1/8/2BP3q/2N5/PPP3PP/1K3R2 b - - 1 20,-0.9507951431945212
rnb5/pp3Qnk/2p1p3/8/2BP3q/2N5/PPP3PP/1K3R2 w - - 4 22,1.0
rnb5/pp3Qnk/2p1pR2/8/2BP4/8/PPP3PP/1K1Nq3 b - - 7 23,1.0
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.07734521041301597
rnbqkbnr/pppp1ppp/8/4p3/8/4P1P1/PPPP1P1P/RNBQKBNR b KQkq - 0 2,0.1610846096413192
rnbqkbnr/ppp2ppp/8/3p4/4p3/4PNP1/PPPP1P1P/RNBQKB1R w KQkq - 0 4,-0.29816104848914665
rnbqk1nr/ppp2ppp/3b4/3pN3/3Pp3/4P1P1/PPP2P1P/RNBQKB1R b KQkq d3 0 5,0.3799489622552249
rn1qk1nr/pp3ppp/3b4/2pp4/3Pp1b1/4P1P1/PPP2P1P/RNBQKB1R w KQkq - 0 7,-0.03248856212414491
rn1qk2r/pp3pQp/3b1n2/2pp4/3Pp3/4P1P1/PPP2P1P/RNB1KB1R b KQkq - 0 8,0.05494460868918742
r2qk1r1/pp1n1p1p/3b1n1Q/2pp4/3Pp3/4P1P1/PPP2P1P/RNB1KB1R w KQq - 3 10,0.21174733686352115
r2qk1r1/1p1n1p1p/p2b1n1Q/1BPp4/4p3/4P1P1/PPP2P1P/RNB1K2R b KQq - 0 11,0.34301006845081167
r3k1r1/1p1q1p1p/p4n1Q/2bp4/4p3/4P1P1/PPP2P1P/RNB1K2R w KQq - 0 13,0.601184486302663
r3k3/1p1q1p1p/p5r1/2bpQ3/4p3/4P1P1/PPP2P1P/RNB1K2R b KQq - 2 14,-0.6936725684698276
r3kb1Q/1p3p1p/p3q1r1/3p4/4p3/4P1P1/PPP2P1P/RNB1K2R w KQq - 5 16,0.5699845772562152
2kr1b2/1p3p1Q/p3q1r1/3p4/4p3/4P1P1/PPP2P1P/RNB2RK1 b - - 2 17,0.46994519893303766
2kr1b2/1p5Q/p3q2r/3p1p2/4p3/1P2P1P1/P1P2P1P/RNB2RK1 w - - 1 19,-0.5545997223493823
2kr1b2/1p6/p6q/3p1p2/4p3/1PN1P1P1/P1P2P1P/R1B2RK1 b - - 1 20,0.7397830512740042
2k4r/1p2b3/p6q/3p1p2/4p3/1PN1PPP1/P1P4P/R1B2RK1 w - - 1 22,-0.7211322540766999
2k4r/1p2b3/p1q5/3p1p2/4p3/1PN1PPP1/PBP2R1P/R5K1 b - - 4 23,0.51719292375787
7r/1p2b3/p1q1k3/3p1p2/N3p3/1P2PPP1/PBP2R1P/R5K1 w - - 7 25,0.7476036243586326
7B/4b3/p1q1k3/1p1p1p2/4p3/1PN1PPP1/P1P2R1P/R5K1 b - - 1 26,-0.7749090662984006
7B/8/p1q1kb2/1p3p2/4p3/1PN1P1P1/P1P2R1P/R5K1 w - - 0 28,0.883719698991578
8/8/p1q2k2/1p3p2/4p3/1P2P1P1/P1P2R1P/R2N2K1 b - - 1 29,-0.8194037105941603
8/8/p4k2/1p3p2/4p1P1/1Pq1P3/P1P2R1P/R2N2K1 w - - 1 31,0.9836748576936802
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.08727737447415772
